код_мкб,название_диагноза,класс_заболевания
m22.3,другие нарушения соединений надколенника,болезни костно-мышечной системы и соединительной ткани
m22.4,хондромаляция надколенника,болезни костно-мышечной системы и соединительной ткани
m22.8,другие поражения надколенника,болезни костно-мышечной системы и соединительной ткани
m22.9,поражение надколенника неуточненное,болезни костно-мышечной системы и соединительной ткани
m23,внутрисуставные поражения колена,болезни костно-мышечной системы и соединительной ткани
m23.0,кистозный мениск,болезни костно-мышечной системы и соединительной ткани
m23.1,дисковидный мениск (врожденный),болезни костно-мышечной системы и соединительной ткани
m23.2,поражение мениска в результате старого разрыва или травмы,болезни костно-мышечной системы и соединительной ткани
m23.3,другие поражения мениска,болезни костно-мышечной системы и соединительной ткани
m23.4,свободное тело в коленном суставе,болезни костно-мышечной системы и соединительной ткани
m23.5,хроническая нестабильность коленного сустава,болезни костно-мышечной системы и соединительной ткани
m23.6,другие спонтанные разрывы связки (ок) колена,болезни костно-мышечной системы и соединительной ткани
m23.8,другие внутренние поражения колена,болезни костно-мышечной системы и соединительной ткани
m23.9,внутреннее поражение коленного сустава неуточненное,болезни костно-мышечной системы и соединительной ткани
m24,другие специфические поражения суставов,болезни костно-мышечной системы и соединительной ткани
m24.0,свободное тело в суставе,болезни костно-мышечной системы и соединительной ткани
m24.1,другие нарушения суставного хряща,болезни костно-мышечной системы и соединительной ткани
m24.2,поражение связок,болезни костно-мышечной системы и соединительной ткани
m24.3,"патологическое смещение и подвывих сустава, не классифицированное в других рубриках",болезни костно-мышечной системы и соединительной ткани
m24.4,повторяющиеся вывихи и подвывихи сустава,болезни костно-мышечной системы и соединительной ткани
m24.5,контрактура сустава,болезни костно-мышечной системы и соединительной ткани
m24.6,анкилоз сустава,болезни костно-мышечной системы и соединительной ткани
m24.7,протрузия вертлужной впадины,болезни костно-мышечной системы и соединительной ткани
m24.8,"другие уточненные поражения суставов, не классифицированные в других рубриках",болезни костно-мышечной системы и соединительной ткани
m24.9,поражение сустава неуточненное,болезни костно-мышечной системы и соединительной ткани
m25,"другие поражения суставов, не классифицированные в других рубриках",болезни костно-мышечной системы и соединительной ткани
m25.0,гемартроз,болезни костно-мышечной системы и соединительной ткани
m25.1,фистула сустава,болезни костно-мышечной системы и соединительной ткани
m25.2,болтающийся сустав,болезни костно-мышечной системы и соединительной ткани
m25.3,другая нестабильность сустава,болезни костно-мышечной системы и соединительной ткани
m25.4,выпот в суставе,болезни костно-мышечной системы и соединительной ткани
m25.5,боль в суставе,болезни костно-мышечной системы и соединительной ткани
m25.6,"тугоподвижность в суставе, не классифицированная в других рубриках",болезни костно-мышечной системы и соединительной ткани
m25.7,остеофит,болезни костно-мышечной системы и соединительной ткани
m25.8,другие уточненные болезни суставов,болезни костно-мышечной системы и соединительной ткани
m25.9,болезнь сустава неуточненная,болезни костно-мышечной системы и соединительной ткани
m30,узелковый полиартериит и родственные состояния,болезни костно-мышечной системы и соединительной ткани
m30.0,узелковый полиартериит,болезни костно-мышечной системы и соединительной ткани
m30.1,полиартериит с поражением легких [черджа-стросса],болезни костно-мышечной системы и соединительной ткани
m30.2,ювенильный полиартериит,болезни костно-мышечной системы и соединительной ткани
m30.3,слизисто-кожный лимфонодулярный синдром [кавасаки],болезни костно-мышечной системы и соединительной ткани
m30.8,"другие состояния, связанные с узелковым полиартериитом",болезни костно-мышечной системы и соединительной ткани
m31,другие некротизирующие васкулопатии,болезни костно-мышечной системы и соединительной ткани
m31.0,гиперчувствительный ангиит,болезни костно-мышечной системы и соединительной ткани
m31.1,тромботическая микроангиопатия,болезни костно-мышечной системы и соединительной ткани
m31.2,смертельная срединная гранулема,болезни костно-мышечной системы и соединительной ткани
m31.3,гранулематоз вегенера,болезни костно-мышечной системы и соединительной ткани
m31.4,синдром дуги аорты [такаясу],болезни костно-мышечной системы и соединительной ткани
m31.5,гигантоклеточный артериит с ревматической полимиалгией,болезни костно-мышечной системы и соединительной ткани
m31.6,другие гигантоклеточные артерииты,болезни костно-мышечной системы и соединительной ткани
m31.7,микроскопический полиангиит,болезни костно-мышечной системы и соединительной ткани
m31.8,другие уточненные некротизирующие васкулопатии,болезни костно-мышечной системы и соединительной ткани
m31.9,некротизирующая васкулопатия неуточненная,болезни костно-мышечной системы и соединительной ткани
m32,системная красная волчанка,болезни костно-мышечной системы и соединительной ткани
m32.0,лекарственная системная красная волчанка,болезни костно-мышечной системы и соединительной ткани
m32.1,системная красная волчанка с поражением других органов или систем,болезни костно-мышечной системы и соединительной ткани
m32.8,другие формы системной красной волчанки,болезни костно-мышечной системы и соединительной ткани
m32.9,системная красная волчанка неуточненная,болезни костно-мышечной системы и соединительной ткани
m33,дерматополимиозит,болезни костно-мышечной системы и соединительной ткани
m33.0,юношеский дерматомиозит,болезни костно-мышечной системы и соединительной ткани
m33.1,другие дерматомиозиты,болезни костно-мышечной системы и соединительной ткани
m33.2,полимиозит,болезни костно-мышечной системы и соединительной ткани
m33.9,дерматополимиозит неуточненный,болезни костно-мышечной системы и соединительной ткани
m34,системный склероз,болезни костно-мышечной системы и соединительной ткани
m34.0,прогрессирующий системный склероз,болезни костно-мышечной системы и соединительной ткани
m34.1,синдром cr (e)st,болезни костно-мышечной системы и соединительной ткани
m34.2,"системный склероз, вызванный лекарственными средствами и химическими соединениями",болезни костно-мышечной системы и соединительной ткани
m34.8,другие формы системного склероза,болезни костно-мышечной системы и соединительной ткани
m34.9,системный склероз неуточненный,болезни костно-мышечной системы и соединительной ткани
m35,другие системные поражения соединительной ткани,болезни костно-мышечной системы и соединительной ткани
m35.0,сухой синдром [шегрена],болезни костно-мышечной системы и соединительной ткани
m35.1,другие перекрестные синдромы,болезни костно-мышечной системы и соединительной ткани
m35.2,болезнь бехчета,болезни костно-мышечной системы и соединительной ткани
m35.3,ревматическая полимиалгия,болезни костно-мышечной системы и соединительной ткани
m35.4,диффузный (эозинофильный) фасциит,болезни костно-мышечной системы и соединительной ткани
m35.5,многоочаговый фибросклероз,болезни костно-мышечной системы и соединительной ткани
m35.6,рецидивирующий панникулит вебера-крисчена,болезни костно-мышечной системы и соединительной ткани
m35.7,"гипермобильный синдром разболтанности, излишней подвижности",болезни костно-мышечной системы и соединительной ткани
m35.8,другие уточненные системные поражения соединительной ткани,болезни костно-мышечной системы и соединительной ткани
m35.9,системные поражения соединительной ткани неуточненные,болезни костно-мышечной системы и соединительной ткани
m36,"системные поражения соединительной ткани при болезнях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m36.0,дермато (поли)миозит при новообразованиях (c00-d48+),болезни костно-мышечной системы и соединительной ткани
m36.1,артропатия при новообразованиях (c00-d48+),болезни костно-мышечной системы и соединительной ткани
m36.2,артропатия при гемофилии (d66-d68+),болезни костно-мышечной системы и соединительной ткани
m36.3,артропатия при других болезнях крови (d50-d76+),болезни костно-мышечной системы и соединительной ткани
m36.4,"артропатия при реакциях гиперчувствительности, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m36.8,"системные поражения соединительной ткани при других болезнях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m40,кифоз и лордоз,болезни костно-мышечной системы и соединительной ткани
m40.0,кифоз позиционный,болезни костно-мышечной системы и соединительной ткани
m40.1,другие вторичные кифозы,болезни костно-мышечной системы и соединительной ткани
m40.2,другие и неуточненные кифозы,болезни костно-мышечной системы и соединительной ткани
m40.3,синдром прямой спины,болезни костно-мышечной системы и соединительной ткани
m40.4,другие лордозы,болезни костно-мышечной системы и соединительной ткани
m40.5,лордоз неуточненный,болезни костно-мышечной системы и соединительной ткани
m41,сколиоз,болезни костно-мышечной системы и соединительной ткани
m41.0,инфантильный идиопатический сколиоз,болезни костно-мышечной системы и соединительной ткани
m41.1,юношеский идиопатический сколиоз,болезни костно-мышечной системы и соединительной ткани
m41.2,другие идиопатические сколиозы,болезни костно-мышечной системы и соединительной ткани
m41.3,торакогенный сколиоз,болезни костно-мышечной системы и соединительной ткани
m41.4,нервно-мышечный сколиоз,болезни костно-мышечной системы и соединительной ткани
m41.5,прочие вторичные сколиозы,болезни костно-мышечной системы и соединительной ткани
m41.8,другие формы сколиоза,болезни костно-мышечной системы и соединительной ткани
m41.9,сколиоз неуточненный,болезни костно-мышечной системы и соединительной ткани
m42,остеохондроз позвоночника,болезни костно-мышечной системы и соединительной ткани
m42.0,юношеский остеохондроз позвоночника,болезни костно-мышечной системы и соединительной ткани
m42.1,остеохондроз позвоночника у взрослых,болезни костно-мышечной системы и соединительной ткани
m42.9,остеохондроз позвоночника неуточненный,болезни костно-мышечной системы и соединительной ткани
m43,другие деформирующие дорсопатии,болезни костно-мышечной системы и соединительной ткани
m43.0,спондилолиз,болезни костно-мышечной системы и соединительной ткани
m43.1,спондилолистез,болезни костно-мышечной системы и соединительной ткани
m43.2,другие сращения позвоночного столба,болезни костно-мышечной системы и соединительной ткани
m43.3,привычный атланто-аксиальный подвывих с миелопатией,болезни костно-мышечной системы и соединительной ткани
m43.4,другие привычные антланто-аксиальные подвывихи,болезни костно-мышечной системы и соединительной ткани
m43.5,другие привычные подвывихи позвонков,болезни костно-мышечной системы и соединительной ткани
m43.6,кривошея,болезни костно-мышечной системы и соединительной ткани
m43.8,другие уточненные деформирующие дорсопатии,болезни костно-мышечной системы и соединительной ткани
m43.9,деформирующая дорсопатия неуточненная,болезни костно-мышечной системы и соединительной ткани
m45,анкилозирующий спондилит,болезни костно-мышечной системы и соединительной ткани
m45.0,анкилозирующий спондилит: множественные отделы позвоночника,болезни костно-мышечной системы и соединительной ткани
m45.1,"анкилозирующий спондилит: область затылка, первого и второго шейных позвонков",болезни костно-мышечной системы и соединительной ткани
m45.2,анкилозирующий спондилит: область шеи,болезни костно-мышечной системы и соединительной ткани
m45.3,анкилозирующий спондилит: шейно-грудной отдел,болезни костно-мышечной системы и соединительной ткани
m45.4,анкилозирующий спондилит: грудной отдел,болезни костно-мышечной системы и соединительной ткани
m45.5,анкилозирующий спондилит: пояснично-грудной отдел,болезни костно-мышечной системы и соединительной ткани
m45.6,анкилозирующий спондилит: поясничный отдел,болезни костно-мышечной системы и соединительной ткани
m45.7,анкилозирующий спондилит: пояснично-крестцовый отдел,болезни костно-мышечной системы и соединительной ткани
m45.8,анкилозирующий спондилит: крестцовый и крестцово-копчиковый отдел,болезни костно-мышечной системы и соединительной ткани
m45.9,анкилозирующий спондилит: неуточненная локализация,болезни костно-мышечной системы и соединительной ткани
m46,другие воспалительные спондилопатии,болезни костно-мышечной системы и соединительной ткани
m46.0,энтезопатия позвоночника,болезни костно-мышечной системы и соединительной ткани
m46.1,"сакроилеит, не классифицированный в других рубриках",болезни костно-мышечной системы и соединительной ткани
m46.2,остеомиелит позвонков,болезни костно-мышечной системы и соединительной ткани
m46.3,инфекция межпозвоночных дисков (пиогенная),болезни костно-мышечной системы и соединительной ткани
m46.4,дисцит неуточненный,болезни костно-мышечной системы и соединительной ткани
m46.5,другие инфекционные спондилопатии,болезни костно-мышечной системы и соединительной ткани
m46.8,другие уточненные воспалительные спондилопатии,болезни костно-мышечной системы и соединительной ткани
m46.9,воспалительные спондилопатии неуточненные,болезни костно-мышечной системы и соединительной ткани
m47,спондилез,болезни костно-мышечной системы и соединительной ткани
m47.0,синдром сдавления передней спинальной или позвоночной артерии (g99.2*),болезни костно-мышечной системы и соединительной ткани
m47.1,другие спондилезы с миелопатией,болезни костно-мышечной системы и соединительной ткани
m47.2,другие спондилезы с радикулопатией,болезни костно-мышечной системы и соединительной ткани
m47.8,другие спондилезы,болезни костно-мышечной системы и соединительной ткани
m47.9,спондилез неуточненный,болезни костно-мышечной системы и соединительной ткани
m48,другие спондилопатии,болезни костно-мышечной системы и соединительной ткани
m48.0,спинальный стеноз,болезни костно-мышечной системы и соединительной ткани
m48.1,анкилозирующий гиперостоз форестье,болезни костно-мышечной системы и соединительной ткани
m48.2,"""целующиеся"" позвонки",болезни костно-мышечной системы и соединительной ткани
m48.3,травматическая спондилопатия,болезни костно-мышечной системы и соединительной ткани
m48.4,"перелом позвоночника, связанный с перенапряжением",болезни костно-мышечной системы и соединительной ткани
m48.5,"разрушение позвонка, не классифицированное в других рубриках",болезни костно-мышечной системы и соединительной ткани
m48.8,другие уточненные спондилопатии,болезни костно-мышечной системы и соединительной ткани
m48.9,спондилопатия неуточненная,болезни костно-мышечной системы и соединительной ткани
m49,"спондилопатии при болезнях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m49.0,туберкулез позвоночника (a18.0+),болезни костно-мышечной системы и соединительной ткани
m49.1,бруцеллезный спондилит (a23.-+),болезни костно-мышечной системы и соединительной ткани
m49.2,энтеробактериальный спондилит (a01-a04+),болезни костно-мышечной системы и соединительной ткани
m49.3,"спондилопатии при других инфекционных и паразитарных болезнях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m49.4,нейропатическая спондилопатия,болезни костно-мышечной системы и соединительной ткани
m49.5,"разрушение позвоночника при болезнях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m49.8,"спондилопатии при других болезнях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m50,поражение межпозвоночных дисков шейного отдела,болезни костно-мышечной системы и соединительной ткани
m50.0,поражение межпозвоночного диска шейного отдел с миелопатией (g99.2*),болезни костно-мышечной системы и соединительной ткани
m50.1,поражение межпозвоночного диска шейного отдела с радикулопатией,болезни костно-мышечной системы и соединительной ткани
m50.2,смещение межпозвоночного диска шейного отдела другого типа,болезни костно-мышечной системы и соединительной ткани
m50.3,другая дегенерация межпозвоночного диска шейного отдела,болезни костно-мышечной системы и соединительной ткани
m50.8,другие поражения межпозвоночного диска шейного отдела,болезни костно-мышечной системы и соединительной ткани
m50.9,поражение межпозвоночного диска шейного отдела неуточненное,болезни костно-мышечной системы и соединительной ткани
m51,поражения межпозвоночных дисков других отделов,болезни костно-мышечной системы и соединительной ткани
m51.0,поражение межпозвоночных дисков поясничного и других отделов с миелопатией (g99.2*),болезни костно-мышечной системы и соединительной ткани
m51.1,поражения межпозвоночных дисков поясничного и других отделов с радикулопатией (g55.1*),болезни костно-мышечной системы и соединительной ткани
m51.2,другое уточненное смещение межпозвоночного диска,болезни костно-мышечной системы и соединительной ткани
m51.3,другая уточненная дегенерация межпозвоночного диска,болезни костно-мышечной системы и соединительной ткани
m51.4,узлы [грыжи] шморля,болезни костно-мышечной системы и соединительной ткани
m51.8,другое уточненное поражение межпозвоночного диска,болезни костно-мышечной системы и соединительной ткани
m51.9,поражение межпозвоночного диска неуточненное,болезни костно-мышечной системы и соединительной ткани
m53,"другие дорсопатии, не классифицированные в других рубриках",болезни костно-мышечной системы и соединительной ткани
m53.0,шейно-черепной синдром,болезни костно-мышечной системы и соединительной ткани
m53.1,шейно-плечевой синдром,болезни костно-мышечной системы и соединительной ткани
m53.2,спинальная нестабильность,болезни костно-мышечной системы и соединительной ткани
m53.3,"крестцово-копчиковые нарушения, не классифицированные в других рубриках",болезни костно-мышечной системы и соединительной ткани
m53.8,другие уточненные дорсопатии,болезни костно-мышечной системы и соединительной ткани
m53.9,дорсопатия неуточненная,болезни костно-мышечной системы и соединительной ткани
m54,дорсалгия,болезни костно-мышечной системы и соединительной ткани
m54.0,"панникулит, поражающий шейный отдел и позвоночник",болезни костно-мышечной системы и соединительной ткани
m54.1,радикулопатия,болезни костно-мышечной системы и соединительной ткани
m54.2,цервикалгия,болезни костно-мышечной системы и соединительной ткани
m54.3,ишиас,болезни костно-мышечной системы и соединительной ткани
m54.4,люмбаго с ишиасом,болезни костно-мышечной системы и соединительной ткани
m54.5,боль внизу спины,болезни костно-мышечной системы и соединительной ткани
m54.6,боль в грудном отделе позвоночника,болезни костно-мышечной системы и соединительной ткани
m54.8,другая дорсалгия,болезни костно-мышечной системы и соединительной ткани
m54.9,дорсалгия неуточненная,болезни костно-мышечной системы и соединительной ткани
m60,миозит,болезни костно-мышечной системы и соединительной ткани
m60.0,инфекционный миозит,болезни костно-мышечной системы и соединительной ткани
m60.1,интерстициальный миозит,болезни костно-мышечной системы и соединительной ткани
m60.2,"гранулема мягких тканей, вызванная попаданием инородного тела, не классифицированная в других рубриках",болезни костно-мышечной системы и соединительной ткани
m60.8,другие миозиты,болезни костно-мышечной системы и соединительной ткани
m60.9,миозит неуточненный,болезни костно-мышечной системы и соединительной ткани
m61,кальцификация и оссификация мышцы,болезни костно-мышечной системы и соединительной ткани
m61.0,миозит оссифицирующий травматический,болезни костно-мышечной системы и соединительной ткани
m61.1,миозит оссифицирующий прогрессирующий,болезни костно-мышечной системы и соединительной ткани
m61.2,паралитическая кальцификация и оссификация мышц,болезни костно-мышечной системы и соединительной ткани
m61.3,"кальцификация и оссификация мышц, связанные с ожогами",болезни костно-мышечной системы и соединительной ткани
m61.4,другая кальцификация мышцы,болезни костно-мышечной системы и соединительной ткани
m61.5,другая оссификация мышцы,болезни костно-мышечной системы и соединительной ткани
m61.9,кальцификация и оссификация мышцы неуточненная,болезни костно-мышечной системы и соединительной ткани
m62,другие поражения мышцы,болезни костно-мышечной системы и соединительной ткани
m62.0,расхождение мышцы,болезни костно-мышечной системы и соединительной ткани
m62.1,другой разрыв мышцы (нетравматический),болезни костно-мышечной системы и соединительной ткани
m62.2,ишемический инфаркт мышцы,болезни костно-мышечной системы и соединительной ткани
m62.3,синдром иммобилизации (параплегический),болезни костно-мышечной системы и соединительной ткани
m62.4,контрактура мышцы,болезни костно-мышечной системы и соединительной ткани
m62.5,"истощение и атрофия мышц, не классифицированные в других рубриках",болезни костно-мышечной системы и соединительной ткани
m62.6,мышечная деформация,болезни костно-мышечной системы и соединительной ткани
m62.8,другие уточненные поражения мышц,болезни костно-мышечной системы и соединительной ткани
m62.9,нарушения мышц неуточненные,болезни костно-мышечной системы и соединительной ткани
m63,"поражения мышцы при болезнях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m63.0,"миозиты при бактериальных болезнях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m63.1,"миозиты при протозойной и паразитарной инфекциях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m63.2,"миозит при других инфекционных болезнях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m63.3,миозит при саркоидозе (d86.8+),болезни костно-мышечной системы и соединительной ткани
m63.8,"другие мышечные расстройства при болезнях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m65,синовиты и теносиновиты,болезни костно-мышечной системы и соединительной ткани
m65.0,абсцесс оболочки сухожилия,болезни костно-мышечной системы и соединительной ткани
m65.1,другие инфекционные (тено)синовиты,болезни костно-мышечной системы и соединительной ткани
m65.2,кальцифицирующий тендинит,болезни костно-мышечной системы и соединительной ткани
m65.3,щелкающий палец,болезни костно-мышечной системы и соединительной ткани
m65.4,теносиновит шиловидного отростка лучевой кости [синдром де кервена],болезни костно-мышечной системы и соединительной ткани
m65.8,другие синовиты и теносиновиты,болезни костно-мышечной системы и соединительной ткани
m65.9,синовит и теносиновит неуточненный,болезни костно-мышечной системы и соединительной ткани
m66,спонтанный разрыв синовиальной оболочки и сухожилия,болезни костно-мышечной системы и соединительной ткани
m66.0,разрыв подколенной кисты,болезни костно-мышечной системы и соединительной ткани
m66.1,разрыв синовиальной оболочки,болезни костно-мышечной системы и соединительной ткани
m66.2,спонтанный разрыв сухожилий разгибателей,болезни костно-мышечной системы и соединительной ткани
m66.3,спонтанный разрыв сухожилий сгибателей,болезни костно-мышечной системы и соединительной ткани
m66.4,спонтанный разрыв других сухожилий,болезни костно-мышечной системы и соединительной ткани
m66.5,спонтанный разрыв неуточненных сухожилий,болезни костно-мышечной системы и соединительной ткани
m67,другие поражения синовиальных оболочек и сухожилий,болезни костно-мышечной системы и соединительной ткани
m67.0,короткое пяточное [ахиллово] сухожилие (приобретенное),болезни костно-мышечной системы и соединительной ткани
m67.1,другая контрактура сухожилия (влагалища),болезни костно-мышечной системы и соединительной ткани
m67.2,"синовиальная гипертрофия, не классифицированная в других рубриках",болезни костно-мышечной системы и соединительной ткани
m67.3,мигрирующий синовит,болезни костно-мышечной системы и соединительной ткани
m67.4,ганглион,болезни костно-мышечной системы и соединительной ткани
m67.8,другие уточненные поражения синовиальной оболочки и сухожилия,болезни костно-мышечной системы и соединительной ткани
m67.9,поражение синовиальной оболочки и сухожилия неуточненное,болезни костно-мышечной системы и соединительной ткани
m68,"поражения синовиальных оболочек и сухожилий при болезнях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m68.0,"синовит и теносиновит при бактериальных болезнях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
m68.8,"другие поражения синовиальной оболочки и сухожилий при болезнях, классифицированных в других рубриках",болезни костно-мышечной системы и соединительной ткани
