код_препарата,дозировка,торговое_название,стоимость,мета_информация
202400175,300,габапентин-тева,483,"габапентин-тева, 300 мг № 50, капсулы"
202400176,50,мометазон сандоз,413,"мометазон сандоз, 50 мкг/доза 10 г (60 доз)(флакон) № 1, спрей назальный дозированный"
202400177,50,элтромакт,42499,"элтромакт, 50 мг № 28, таблетки, покрытые пленочной оболочкой"
202400178,25+30,инкресинк,1983,"инкресинк, 25 мг+ 30 мг № 28,таблетки, покрытые пленочной оболочкой"
202400179,100,биогам иммуноглобулин человека нормальный хроматографически очищенный,38700,"биогам иммуноглобулин человека нормальный хроматографически очищенный, 100мг/мл, 50 мл № 1, раствор для инфузий"
202400180,20,синфен,145,"синфен, 20 мг № 30, таблетки покрытые плёночной оболочкой"
202400181,500,инфира,25146,"инфира, 500 мг (пакетик) 508 мг № 50, гранулы для приготовления раствора для приема внутрь"
202400182,2.5,лестродекс,1395,"лестродекс, 2,5 мг № 30, таблетки покрытые плёночной оболочкой"
202400183,2.5,эвелирок,19981,"эвелирок, 2,5 мг № 30, таблетки"
202400184,180,микофеноловая кислота-тл,2427,"микофеноловая кислота-тл, 180 мг № 100, таблетки покрытые пленочной оболочкой, кишечнорастворимые"
202400185,unknown,датчик (ст-202) системы чрескожного мониторинга глюкозы,19600,датчик ст-202 системы чрескожного мониторинга глюкозы (комплект датчик № 4+ передатчик № 1)
202400186,200,мукоцил солюшн таблетс,64,"мукоцил солюшн таблетс, 200 мг № 20, таблетки диспергируемые"
202400187,600,мукоцил солюшн таблетс,84,"мукоцил солюшн таблетс, 600 мг № 10, таблетки диспергируемые"
202400189,1,рексалти,5280,"рексалти, 1 мг № 28, таблетки покрытые плёночной оболочкой"
202400190,3,рексалти,11884,"рексалти, 3 мг № 28, таблетки покрытые плёночной оболочкой"
202400191,10,вебулис,41197,"вебулис, 10 мкг/мл, 2 мл № 30, раствор для ингаляций"
202400192,100,сальбутамол-фармстандарт вч,115,"сальбутамол-фармстандарт вч, 100 мкг/доза, 200 доз № 1, аэрозоль для ингаляций дозированный"
202400193,30,граноген,4587,"граноген, 30 млн.ме/мл, 1 мл, флаконы № 5, раствор для внутривенного и подкожного введения"
202400194,6,калкорт,1549,"калкорт, 6 мг № 20, таблетки"
202400195,967.5+1197+835.5,блемарен,1616,"блемарен, 967,5 мг+1197 мг+835,5 мг № 80, таблетки шипучие"
202400196,50,фурагин,297,"фурагин, 50 мг № 30, таблетки"
202400197,0.5,такролимус-лок-бета,510,"такролимус-лок-бета, 0,5 мг № 30, капсулы"
202400198,100,беклометазон эйр,253,"беклометазон эйр, 100 мкг/доза 200 доз № 1, аэрозоль для ингаляций дозированный"
202400200,10,лефлуномид канон,435,"лефлуномид канон, 10 мг № 30, таблетки покрытые плёночной оболочкой"
202400202,1000,идельвион,236500,"идельвион, 1000 ме № 1, лиофилизат для приготовления раствора для внутривенного введения"
202400203,25,гидрохлоротиазид фармасинтез,24,"гидрохлоротиазид фармасинтез, 25 мг № 30, таблетки"
202500001,100,мирсониб,77758,"мирсониб, 100 мг № 30, таблетки, покрытые пленочной оболочкой"
202500002,1,инсудайв,4706,"инсудайв, 1 мг/доза, 3 мл, шприц-ручка № 1, раствор для подкожного введения"
202500003,25,агомелатин,1277,"агомелатин, 25 мг № 28, таблетки покрытые плёночной оболочкой"
202500004,0.25,альфадол,438,"альфадол, 0,25 мкг № 60, капсулы"
202500005,100,креземба,55632,"креземба, 100 мг № 14, капсулы"
202500006,480,тенексиа,19615,"тенексиа, 480 мкг/мл, 0,5 мл, шприц № 2, раствор для внутримышечного введения"
202500007,20,компларейт,17767,"компларейт, 20 мг/мл, 10 мл флакон № 1, концентрат для приготовления раствора для инфузий"
202500008,480,тенексиа,7355,"тенексиа, 480 мкг/мл № 2 (комплект: 0,125 мл шприц + 0,25 мл шприц), раствор для внутримышечного введения"
202500010,10,эвелирок,51503,"эвелирок, 10 мг № 30, таблетки"
202500011,20,мемантин канон,1834,"мемантин канон, 20 мг № 90, таблетки покрытые плёночной оболочкой"
202500012,20,земотин,570,"земотин, 20 мг № 28, таблетки покрытые плёночной оболочкой"
202500014,90,тикагрелор,982,"тикагрелор, 90 мг № 56, таблетки покрытые плёночной оболочкой"
202500015,20,круоксабан,2027,"круоксабан, 20 мг № 30, таблетки покрытые плёночной оболочкой"
202500016,15,круоксабан,1904,"круоксабан, 15 мг № 30, таблетки покрытые плёночной оболочкой"
201000733,unknown,тест-полоски акку-чек перформа,1032,"тест-полоски ""акку-чек перформа"" для прибора ""акку-чек перформа/перформа нано/перформа комбо"", № 50"
201000740,250,урдокса,660,"урдокса, 250 мг № 50, капсулы"
201000741,250/5,урсофальк,1147,"урсофальк, 250 мг/5 мл, 250 мл № 1, суспензия для приема внутрь"
201000756,4.6,экселон,1439,"экселон, 4,6 мг/сут № 30, трансдермальная терапевтическая система (пластырь)"
201000757,1,эмокси-оптик,18,"эмокси-оптик, 1%, 5 мл, флакон № 1, капли глазные"
201000761,0.25,энплейт,32232,"энплейт, 0,25 мг № 1, порошок/лиофилизат для приготовления раствора для подкожного введения"
201000781,2.4,коагил-vii,38994,"коагил-vii, 120 кед/120 тыс.ме (2,4 мг) № 1, лиофилизат для раствора для внутривенного введения"
201000786,8,ронбетал,18948,"ронбетал, 8 млн.ме/мл, 1 мл, флаконы № 15, раствор для подкожного введения"
201000806,100,апидра солостар,1754,"апидра солостар, 100 ед/мл, 3 мл № 5, раствор для подкожного введения, шприц-ручки солостар"
201000811,15,растан,3300,"растан, 15 ме/мл (5 мг/мл) 3 мл картридж № 1, раствор для подкожного введения"
201000812,100,сандиммун неорал,4305,"сандиммун неорал, 100 мг/мл, 50 мл № 1, раствор для приема внутрь"
201100007,200,бетамакс,327,"бетамакс, 200 мг № 30, таблетки покрытые оболочкой"
201100008,50,бетамакс,164,"бетамакс, 50 мг № 30, таблетки покрытые оболочкой"
201100012,10,вазомирин,4026,"вазомирин, 10 мкг/доза 50 доз № 1, спрей назальный дозированный"
201100020,unknown,"инфузионная система ""акку-чек флекс линк""",10982,"набор инфузионный акку-чек флекслинк № 10, для дозатора инсулинового инфузионного носимого ""акку-чек комбо"""
201100027,100,l-тироксин,55,"l-тироксин, 100 мкг № 100, таблетки"
201100034,4,перинева,110,"перинева, 4 мг № 30, таблетки"
201100035,8,перинева,93,"перинева, 8 мг № 30, таблетки"
201100038,625,резонатив,4910,"резонатив, 625 ме/мл, 1 мл № 1, раствор для внутримышечного  введения"
201100044,145,трайкор,990,"трайкор, 145 мг № 30, таблетки покрытые плёночной оболочкой"
201100047,400,церепро,480,"церепро, 400 мг № 14, капсулы"
201100051,0.5,шприц инсулиновый,1890,"шприц одноразовый инсулиновый, объем 0,5 мл (см.куб.) с иглой № 100"
201100059,60,коагил-vii,15350,"коагил-vii, 1,2 мг (60 кед/60 тыс.ме) № 1, лиофилизат для раствора для внутривенного введения"
201100060,50,панимун биорал,2673,"панимун биорал, 50 мг № 50, капсулы"
201100061,100,панимун биорал,5346,"панимун биорал, 100 мг № 50, капсулы"
201100062,25,панимун биорал,1336,"панимун биорал, 25 мг № 50, капсулы"
201100068,100,экорал,3289,"экорал, 100 мг № 50, капсулы мягкие"
201100069,30,синновекс,17120,"синновекс, 30 мкг № 4, лиофилизат для приготовления раствора для инъекций"
201100071,9.6,инфибета,18194,"инфибета, 9,6 млн ме/мл № 15, лиофилизат для раствора для инъекций"
201100072,2,элапраза,190746,"элапраза, 2 мг/мл, 3 мл № 1, концентрат для приготовления раствора для инфузий"
201200006,50/5,феррум лек,122,"феррум лек, 50 мг/5 мл, 100 мл, флакон № 1, сироп"
201200010,50,эфокс лонг,248,"эфокс лонг, 50 мг № 30, капсулы пролонгированного действия"
201200016,200,спарекс,116,"спарекс, 200 мг № 30, капсулы с пролонгированным высвобождением"
201200021,75,брамитоб,100721,"брамитоб, 75 мг/мл 4 мл № 56, раствор для ингаляций"
201200022,0.5,агалатес,1602,"агалатес, 0,5 мг № 8, таблетки"
201200028,500,пиразинамид,152,"пиразинамид, 500 мг № 100, таблетки"
201200044,100,цефекон д,47,"цефекон д, 100 мг № 10, суппозитории ректальные (для детей)"
201200045,500,кансалазин,863,"кансалазин, 500 мг № 50, таблетки пролонгированного действия"
201200047,unknown,"картридж-система ""акку-чек спирит""",1945,"картриджи для хранения инсулина, картридж-система ""акку-чек спирит"" № 5, предн.д/хр.инсул.,использ.в инс.доз-ре""акку-чек комбо"",прилаг.спец.переходник д/наб.инс."
201200051,10,заласта ку-таб,722,"заласта ку-таб, 10 мг № 28, таблетки для рассасывания"
201200052,5,заласта ку-таб,515,"заласта ку-таб, 5 мг № 28, таблетки для рассасывания"
201200053,10,заласта,362,"заласта, 10 мг № 28, таблетки"
201200054,5,заласта,246,"заласта, 5 мг № 28, таблетки"
201200061,200,симзия,44969,"симзия, 200 мг 1 мл № 2, раствор для подкожного введения"
201200068,100,ксеплион,8908,"ксеплион, 100 мг, 1 мл, шприц № 1, суспензия для внутримышечного введения пролонгированного действия"
201200069,50,ксеплион,4697,"ксеплион, 50 мг, 0,5 мл, шприц № 1, суспензия для внутримышечного введения пролонгированного действия"
201200070,75,ксеплион,6684,"ксеплион, 75 мг 0,75 мл, шприц № 1, суспензия для внутримышечного введения пролонгированного действия"
201200071,150,ксеплион,13730,"ксеплион, 150 мг 1,5 мл, шприц № 1, суспензия для внутримышечного введения пролонгированного действия"
201200073,8,галантамин,2579,"галантамин, 8 мг № 56, таблетки покрытые плёночной оболочкой"
201200074,30,амброксол,18,"амброксол, 30 мг № 20, таблетки"
201200079,10,бисопролол-прана,42,"бисопролол-прана, 10 мг № 30, таблетки покрытые плёночной оболочкой"
201200082,9.5,экселон,2434,"экселон, 9,5 мг/сут № 30, трансдермальная терапевтическая система (пластырь)"
201200087,200,квентиакс,908,"квентиакс, 200 мг № 60, таблетки покрытые плёночной оболочкой"
201200092,150,вимпат,2956,"вимпат, 150 мг № 56, таблетки покрытые плёночной оболочкой"
201200093,200,вимпат,3942,"вимпат, 200 мг № 56, таблетки покрытые плёночной оболочкой"
201200094,100,кеппра,1998,"кеппра, 100мг/мл 300 мл № 1, раствор для приема внутрь"
201200095,5,преднизолон,95,"преднизолон, 5 мг № 60, таблетки"
201200109,25,азафен,175,"азафен, 25 мг № 50, таблетки"
201200112,8,реквип модутаб,4866,"реквип модутаб, 8 мг № 28, таблетки пролонгированного действия покрытые плёночной оболочкой"
201200122,1.5,индапамид ретард,40,"индапамид ретард, 1,5 мг № 30, таблетки пролонгированного действия покрытые плёночной оболочкой"
201200128,10,амлодипин,11,"амлодипин, 10 мг № 30, таблетки"
201200129,5,амлодипин,15,"амлодипин, 5 мг № 30, таблетки"
201200130,200,амиодарон,174,"амиодарон, 200 мг № 30, таблетки"
201200154,20,симвастатин,66,"симвастатин, 20 мг № 30, таблетки покрытые плёночной оболочкой"
201200173,50,лориста,130,"лориста, 50 мг № 30, таблетки покрытые плёночной оболочкой"
201200185,25,топалепсин,165,"топалепсин, 25 мг № 30, таблетки покрытые плёночной оболочкой"
201200186,50,топалепсин,277,"топалепсин, 50 мг № 30, таблетки покрытые плёночной оболочкой"
201200201,4,доксазозин,227,"доксазозин, 4 мг № 30, таблетки"
201200205,100,сейзар,1230,"сейзар, 100 мг № 30, таблетки"
201200211,250,фенибут,100,"фенибут, 250 мг № 20, таблетки"
201200213,25,спиронолактон,46,"спиронолактон, 25 мг № 20, таблетки"
201200214,500,сульфасалазин,295,"сульфасалазин, 500 мг № 50, таблетки покрытые плёночной оболочкой"
201200231,1200,иммунин,12864,"иммунин, 1200 ме 10 мл, флакон (в комплекте с растворителем) № 1, лиофилизат для приготовления раствора для внутривенного введения"
201200238,40,фуросемид,30,"фуросемид, 40 мг № 50, таблетки"
201400046,10,орфадин,-1,"орфадин, 10 мг № 60, капсулы"
201200242,150,рифапекс,17048,"рифапекс, 150 мг № 64, таблетки покрытые плёночной оболочкой"
201200254,unknown,"тест-полоски ""сателлит  экспресс""",374,"тест-полоски ""сателлит экспресс"", для прибора ""сателлит экспресс"", для определения уровня глюкозы в крови, № 50"
201200262,25,энбрел,19709,"энбрел, 25 мг № 4, лиофилизат для приготовления раствора для подкожного введения"
201200263,5,бипрол,17,"бипрол, 5 мг № 30, таблетки покрытые плёночной оболочкой"
201200264,1,земплар,3479,"земплар, 1 мкг № 28, капсулы"
201200265,24,бетагистин,53,"бетагистин, 24 мг № 30, таблетки"
201200280,40,аторвастатин,52,"аторвастатин, 40 мг № 30, таблетки покрытые плёночной оболочкой"
201200283,20,лизиноприл,52,"лизиноприл, 20 мг № 30, таблетки"
201200289,40,симвастатин,92,"симвастатин, 40 мг № 30, таблетки покрытые плёночной оболочкой"
201300111,850,форметин,-1,"форметин, 850 мг № 60, таблетки"
201200290,2,диаглинид,119,"диаглинид, 2 мг № 30, таблетки"
201200298,unknown,"набор для инсулинового дозатора""акку-чек спирит комбо""",4808,"набор для дозатора инсулиновый сервисный набор ""акку-чек спирит комбо"", № 1, для использования совместно с дозатором ""акку-чек комбо"""
201200303,25,карведилол,121,"карведилол, 25 мг № 30, таблетки"
201200310,10,вентавис,41197,"вентавис, 10 мкг/мл, 2 мл № 30, раствор для ингаляций"
201200312,3,эральфон,6275,"эральфон, 3 тыс.ме 0,3 мл, шприцы № 6, раствор для внутривенного и подкожного введения"
201200328,unknown,кетостерил,2140,"кетостерил, № 100, таблетки покрытые плёночной оболочкой"
201300001,1.44+11.5+5.4+0.72+0.1,омнопон,239,"омнопон, (1,44+11,5+5,4+0,72+0,1) 1 мл № 5, раствор для подкожного введения (раствор для инъекций)"
201300014,500,микофенолата мофетил-тл,1129,"микофенолата мофетил-тл, 500 мг № 50, таблетки покрытые плёночной оболочкой"
201300019,100,аллопуринол,97,"аллопуринол, 100 мг № 50, таблетки"
201300032,100,хумулин регуляр квикпен,1305,"хумулин регуляр, 100 ме/мл, 3 мл, картридж в шприц-ручке квикпен № 5, раствор для инъекций"
201300034,250,диакарб,220,"диакарб, 250 мг № 30, таблетки"
201300041,15,зилаксера,2370,"зилаксера, 15 мг № 28, таблетки"
201300047,500,леветирацетам,720,"леветирацетам, 500 мг № 30, таблетки покрытые пленочной оболочкой"
201300049,50,фламакс,82,"фламакс, 50 мг № 25, капсулы"
201300052,25,клофранил,216,"клофранил, 25 мг № 50, таблетки покрытые плёночной оболочкой"
201300068,300,квентиакс,1495,"квентиакс, 300 мг № 60, таблетки покрытые плёночной оболочкой"
201300070,unknown,"резервуар для инсулиновых помп ""paradigm""",1740,"резервуар для инсулиновых помп ммт-332 (332а) № 10, для хранен.инс.,исп.в помп ""paradigm"" моделей ммт-712, ммт-754/722, объем 3 мл."
201300073,100,топалепсин,300,"топалепсин, 100 мг № 30, таблетки покрытые плёночной оболочкой"
201300074,0.4,нитроспрей,84,"нитроспрей, 0,4 мг/доза, 200 доз 10 мл № 1, спрей сублингвальный дозированный"
201300075,12.5,карведилол,45,"карведилол, 12,5 мг № 30, таблетки"
201300083,35,фабразим,196000,"фабразим, 35 мг № 1, лиофилизат для приготовления раствора для инфузий"
201300087,100+6,фостер,1904,"фостер, 100 мкг+ 6 мкг/доза, 120 доз № 1, аэрозоль для ингаляций дозированный"
201300091,40,кордафлекс рд,124,"кордафлекс рд, 40 мг № 30, таблетки покрытые оболочкой с контролируемым высвобождением"
201300112,1000,форметин,81,"форметин, 1000 мг № 60, таблетки"
201300117,3000,бинокрит,6275,"бинокрит, 3 тыс.ме/0,3 мл (84 мкг/мл), 0,3 мл, шприцы № 6, раствор для внутривенного и подкожного введения"
201300133,10,флутотера,16132,"флутотера, 10 мг № 20, таблетки покрытые плёночной оболочкой"
201300135,2,торендо ку-таб,331,"торендо ку-таб, 2 мг № 30, таблетки для рассасывания"
201300138,2.5,спирива респимат,1909,"спирива респимат, 2,5 мкг/доза, 60 доз № 1, раствор для ингаляций, в комплекте с ингалятором респимат"
201300145,100+25,леводопа/бенсеразид-тева,638,"леводопа/бенсеразид-тева, 100 мг+25 мг № 100, таблетки"
201300147,2,тригексифенидил,22,"тригексифенидил, 2 мг № 50, таблетки"
201300150,1,наглазим,93035,"наглазим, 1 мг/мл, 5 мл № 1, концентрат для приготовления раствора для инфузий"
201300151,50,симпони,52838,"симпони, 50 мг/0,5 мл, шприц-ручка № 1, раствор для подкожного введения"
201300166,2.5,бисопролол,10,"бисопролол, 2,5 мг № 30, таблетки покрытые плёночной оболочкой"
201300167,10,бисопролол,21,"бисопролол, 10 мг № 30, таблетки покрытые плёночной оболочкой"
201300168,5,бисопролол,12,"бисопролол, 5 мг № 30, таблетки покрытые плёночной оболочкой"
201300177,20,тизабри,83920,"тизабри, 20 мг/мл 15 мл (300 мг/15мл) флакон № 1, концентрат для приготовления раствора для инфузий"
201300186,500+1200,гемате п,15216,"гемате п, 500 ме+1200 ме № 1, лиофилизат для приготовления раствора для внутривенного введения"
201300188,75,плагрил,337,"плагрил, 75 мг № 30, таблетки покрытые плёночной оболочкой"
201300192,25,метопролол,28,"метопролол, 25 мг № 60, таблетки"
201300193,50,метопролол,25,"метопролол, 50 мг № 30, таблетки"
201300198,2.5,варфарин,84,"варфарин, 2,5 мг № 100, таблетки"
201300211,200,рибавирин,83,"рибавирин, 200 мг № 30, капсулы"
201300222,8,интерферон бета-1b,6064,"интерферон бета-1b, 8 млн.ме/0,5 мл, шприцы № 5, раствор для подкожного введения"
201300225,250,микофенолата мофетил-тл,2092,"микофенолата мофетил-тл, 250 мг № 100, таблетки покрытые плёночной оболочкой"
201400011,100,куван,28606,"куван, 100 мг № 30, таблетки диспергируемые"
202100160,5,декспантенол-вертекс,65,"декспантенол-вертекс, 5% 30 г № 1, мазь для наружного применения"
202100161,5/10/15/20,мемантин канон,1588,"мемантин канон, (5 мг № 7+10 мг № 7+15 мг № 7+20 мг № 7) № 28, таблетки покрытые плёночной оболочкой (набор)"
202100165,2,лорамил,2633,"лорамил, 2 мг № 25, таблетки, покрытые пленочной оболочкой"
202100172,100,темозолекс,2910,"темозолекс, 100 мг № 5, капсулы"
202100176,250,абитера,84457,"абитера, 250 мг № 120, таблетки"
202100181,unknown,тест-полоски айчек,373,"тест-полоски айчек № 50, д/опред. содержания глюкозы в крови для глюкометра айчек"
202100184,10,мавенклад,80034,"мавенклад, 10 мг № 1, таблетки"
202100186,100,ринфаст,1767,"ринфаст, 100 ед/мл, 3 мл, картриджи в шприц-ручках ринастра ii № 5, раствор для внутривенного и подкожного введения"
202100187,20,сарклиза,28042,"сарклиза, 20 мг/мл, 5 мл № 1, концентрат для приготовления раствора для инфузий"
202100188,20,сарклиза,140463,"сарклиза, 20 мг/мл, 25 мл № 1, концентрат для приготовления раствора для инфузий"
202100191,500,кальция глюконат,4,"кальция глюконат, 500 мг № 10, таблетки"
202100196,60,эрлеада,144084,"эрлеада, 60 мг № 120, таблетки, покрытые пленочной оболочкой"
202100198,1,глюкаген 1 мг гипокит,670,"глюкаген 1 мг гипокит, 1 мг № 1, лиофилизат для приготовления раствора для инъекций"
202100200,100,калквенс,358267,"калквенс, 100 мг № 60, капсулы"
202100201,10,икатибант пск,178999,"икатибант пск, 10 мг/мл, 3 мл, шприц № 1, раствор для подкожного введения"
202100205,50,хлорпротиксен,237,"хлорпротиксен, 50 мг № 30, таблетки покрытые пленочной оболочкой"
202100207,30,нифекард хл,174,"нифекард хл, 30 мг № 30, таблетки с пролонгированным высвобождением, покрытые пленочной оболочкой"
202100209,30000,бинокрит,8220,"бинокрит, 30 тыс.ме/0,75 мл (336 мкг/мл), 0,75 мл, шприц № 1, раствор для внутривенного и подкожного введения"
202100212,180,илсира,39999,"илсира, 180 мг/мл, 0,9 мл, шприцы № 2, раствор для подкожного введения"
202100213,20,латуда,2087,"латуда, 20 мг № 28, таблетки покрытые плёночной оболочкой"
202100214,60,брилинта,8118,"брилинта, 60 мг № 168, таблетки покрытые плёночной оболочкой"
202100215,200+12,респифорб комби,971,"респифорб комби, 200 мкг/доза+12 мкг/доза, № 120 (60+60), капсулы с порошком для ингаляций (набор) (с устройством)"
202100218,15,ксарелто,10332,"ксарелто, 15 мг № 98, таблетки покрытые пленочной оболочкой"
202100220,22+55+92,треледжи эллипта,3886,"треледжи эллипта, 22 мкг+55 мкг+92 мкг/доза, 30 доз № 1, порошок для ингаляций дозированный"
202100221,240,флутерио,39486,"флутерио, 240 мг № 56, капсулы кишечнорастворимые"
202200002,320+9,респифорб,1620,"респифорб, 320 мкг+9 мкг/доза № 60, капсулы с порошком для ингаляций"
202200009,100,тресиба,4099,"тресиба, 100 ед/мл, 3 мл, картриджи-шприц-ручки № 5, раствор для подкожного введения"
202200010,100+6,респикомб эйр,1904,"респикомб эйр, 100 мкг/доза+ 6 мкг/доза, 120 доз № 1, аэрозоль для ингаляций дозированный"
202200019,50,бикалутамид канон,603,"бикалутамид канон, 50 мг № 30, таблетки покрытые пленочной оболочкой"
202200020,50,бикана,563,"бикана, 50 мг № 28, таблетки, покрытые пленочной оболочкой"
202200022,3,ингасалин,1411,"ингасалин, 3%, 5 мл № 10, раствор для ингаляций гипертонический стерильный"
202200023,10000,микразим,372,"микразим, 10000 ед № 40, капсулы"
202200024,25000,микразим,584,"микразим, 25000 ед № 40, капсулы"
202200025,50,пронокогнил,330,"пронокогнил, 50 мг № 30, таблетки покрытые плёночной оболочкой с контролируемым высвобождением"
202200027,35+65,фосфоглицерр,476,"фосфоглицерр, 35 мг+65 мг № 50, капсулы"
202200028,400,холитилин,1288,"холитилин, 400 мг № 56, капсулы"
202200031,150,гемлибра,263842,"гемлибра, 150 мг/мл, 1 мл, флакон № 1, раствор для подкожного введения"
202200032,100,ринфаст микс 30,1737,"ринфаст микс 30, 100 ед/мл 3 мл № 5, суспензия для подкожного введения"
202200034,1000,элоктейт,12370,"элоктейт, 1000 ме № 1, лиофилизат для приготовления раствора для внутривенного введения в комплекте с растворителем"
202200035,400,квентиакс ср,2361,"квентиакс ср, 400 мг № 60, таблетки пролонгированного действия покрытые плёночной оболочкой"
202200036,100,леветирацетам,1542,"леветирацетам, 100 мг/мл, 300 мл № 1, раствор для приема внутрь"
202200037,0.9,натрия хлорид-солофарм,54,"натрия хлорид-солофарм, 0,9% - 200 мл № 1, раствор для инфузий"
202200038,0.25+0.5,астмасол бронхо,177,"астмасол бронхо, 0,25 мг/мл+0,5 мг/мл, 20 мл № 1, раствор для ингаляций"
202200039,50,хлорпромазин канон,198,"хлорпромазин канон, 50 мг № 10, таблетки покрытые плёночной оболочкой"
202200040,50,хлорпромазин,203,"хлорпромазин, 50 мг № 10, таблетки покрытые плёночной оболочкой"
202200041,1,прамипексол-алиум,702,"прамипексол-алиум, 1 мг № 30, таблетки"
202200042,0.25,прамипексол-алиум,181,"прамипексол-алиум, 0,25 мг № 30, таблетки"
202200045,250,апрокан,1908,"апрокан, 250 мг № 100, таблетки"
202200046,100,миглустат-29ф,181233,"миглустат-29ф, 100 мг № 84, капсулы"
202200050,20,темозолекс,1127,"темозолекс, 20 мг № 5, капсулы"
202200051,250,темозолекс,14387,"темозолекс, 250 мг № 5, капсулы"
202200054,100,эрлотиниб-натив,28465,"эрлотиниб-натив, 100 мг, № 30, таблетки, покрытые пленочной оболочкой"
202200055,200,сорафениб,73082,"сорафениб, 200 мг № 112, таблетки покрытые пленочной оболочкой"
202200059,15,арипипразол,2540,"арипипразол, 15 мг № 30, таблетки"
202200060,30,арипипразол,4099,"арипипразол, 30 мг № 30, таблетки"
202200061,20,бринтелликс,3332,"бринтелликс, 20 мг № 28, таблетки покрытые плёночной оболочкой"
202200062,150,иларис,554812,"иларис, 150 мг/мл, 1 мл № 1, раствор для подкожного введения"
202200063,160,соталол фармасинтез,156,"соталол фармасинтез, 160 мг № 30, таблетки"
202200068,60,даклавизар,32999,"даклавизар, 60 мг № 28, таблетки покрытые плёночной оболочкой"
202200069,600,линезолид,2888,"линезолид, 600 мг № 10, таблетки покрытые плёночной оболочкой"
202200073,0.5,мекинист,23619,"мекинист, 0,5 мг № 30, таблетки покрытые плёночной оболочкой"
202200075,5,эводин,991,"эводин, 5 мг № 28, таблетки, покрытые пленочной оболочкой"
202200076,50,суглат,2307,"суглат, 50 мг № 30, таблетки покрытые плёночной оболочкой"
202200081,100/50/75+150,трикафта,1546036,"трикафта, 100 мг/50 мг/75 мг + 150 мг, № 84, таблетки покрытые плёночной оболочкой (набор)"
202200083,25,агтеминол,2479,"агтеминол, 25 мг № 98, таблетки покрытые плёночной оболочкой"
202200085,25,лорвиква,396425,"лорвиква, 25 мг № 90, таблетки, покрытые пленочной оболочкой"
202200086,100,лорвиква,396425,"лорвиква, 100 мг № 30, таблетки, покрытые пленочной оболочкой"
202200087,10,метотрексат,455,"метотрексат, 10 мг/мл, 0,75 мл, шприц № 1, раствор для инъекций"
202200089,150,такзайро,1042360,"такзайро, 150 мг/мл, 2 мл № 1, раствор для подкожного введения"
202200091,80,подагрель,1071,"подагрель, 80 мг № 30, капсулы"
202200092,100,кетопрофен-акос,91,"кетопрофен-акос, 100 мг № 20, таблетки"
202200093,150,кетопрофен-акос мв,213,"кетопрофен-акос мв, 150 мг № 20, таблетки с модифицированным высвобождением"
202200099,100+33,соликва солостар,3205,"соликва солостар, 100 ед/мл + 33 мкг/мл, 3 мл, картридж в шприц-ручке солостар № 3, раствор для подкожного введения"
202200103,50,феринжект,4174,"феринжект, 50 мг/мл (флакон) 2 мл х 5 (пачка картонная), раствор для внутривенного введения"
202200104,unknown,инфузионный набор минимед шуа-ти ммт (864а),9500,"инфузионный набор минимед шуа-ти ммт-864а (трубка 60 см,канюля 6мм) № 10"
202200105,1.34,оземпик,6396,"оземпик, 1,34 мг/мл (картридж в шприц-ручке) 3 мл № 1, раствор для подкожного введения"
202200107,0.4,моксонидин авексима,369,"моксонидин авексима, 0,4 мг № 60, таблетки покрытые плёночной оболочкой"
202200108,400,моксонидин-алиум,128,"моксонидин-алиум, 0,4 мг № 30, таблетки покрытые плёночной оболочкой"
202200115,2,кайендра,92305,"кайендра, 2 мг № 28, таблетки, покрытые пленочной оболочкой"
202200116,0.25,кайендра,5295,"кайендра, 0,25 мг № 12, таблетки, покрытые пленочной оболочкой"
202200117,22+55+184,треледжи эллипта,4026,"треледжи эллипта, 22 мкг+55 мкг+184 мкг/доза, 30 доз № 1, порошок для ингаляций дозированный"
202200122,200,вориконазол,3300,"вориконазол, 200 мг № 14, таблетки покрытые пленочной оболочкой"
202200124,667,дюфалоза,395,"дюфалоза, 667 мг/мл, 500 мл № 1, сироп"
202200128,50,лозартан-акос,130,"лозартан-акос, 50 мг № 30, таблетки покрытые пленочной оболочкой"
202200129,5,гэттестив,1674720,"гэттестив, 5 мг № 28, лиофилизат для приготовления раствора для подкожного введения"
202200130,360,микофеноловая кислота,7293,"микофеноловая кислота, 360 мг № 120, таблетки покрытые пленочной оболочкой, кишечнорастворимые"
202200134,150,кинерет,16354,"кинерет, 150 мг/мл, 0,67 мл, шприцы № 7, раствор для подкожного введения"
202200137,15,ранвэк,45052,"ранвэк, 15 мг № 30, таблетки с пролонгированным высвобождением, покрытые пленочной оболочкой"
202200138,70,дазатиниб,77855,"дазатиниб, 70 мг № 60, таблетки покрытые пленочной оболочкой"
202200139,10,максицентан,58095,"максицентан, 10 мг № 28, таблетки покрытые пленочной оболочкой"
202200142,0.4,тамсулозин-вертекс,811,"тамсулозин-вертекс, 0,4 мг № 90, капсулы с пролонгированным высвобождением"
202200143,61,виндамэкс,1498160,"виндамэкс, 61 мг № 30, капсулы"
202200144,unknown,тест-полоски айчек,506,"тест-полоски айчек, для определения глюкозы крови №100"
202200146,250,урцевел,1320,"урцевел, 250 мг № 100, капсулы"
202200148,250,урсодезоксихолевая кислота-вертекс,1133,"урсодезоксихолевая кислота-вертекс, 250 мг № 100, капсулы"
